"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr","dilution"
"14982",14982,1,6,"2023-03-16 16:45:00",680,0.0848667025566101,0.0848667025566101,2,0,2480,1,28.9996147155762,235,0.0789792087913652,NA
"14983",14983,1,7,"2023-03-16 16:45:00",680,0.203423798084259,0.203423798084259,2,0,1874,1,28.9996147155762,235,0.185690592420229,NA
"14984",14984,1,8,"2023-03-16 16:45:00",680,0.0703072175383568,0.0703072175383568,2,0,2539,1,29.0014324188232,235,0.0657477846460177,NA
"14985",14985,1,1,"2023-03-16 16:45:00",720,0.193583965301514,0.193583965301514,2,0,1915,1,28.9996147155762,235,0.201614841232421,0
"14986",14986,1,2,"2023-03-16 16:45:00",720,0.190874353051186,0.190874353051186,2,0,1936,1,28.9996147155762,235,0.198692406642289,1
"14987",14987,1,3,"2023-03-16 16:45:00",720,0.200344860553741,0.200344860553741,2,0,1893,1,28.9996147155762,235,0.208934196156034,0
"14988",14988,1,4,"2023-03-16 16:45:00",720,0.156159847974777,0.156159847974777,2,0,2104,1,28.9996147155762,235,0.161765916820689,0
"14989",14989,1,5,"2023-03-16 16:45:00",720,0.19275438785553,0.19275438785553,2,0,1927,1,28.9996147155762,235,0.20071944576336,0
"14990",14990,1,6,"2023-03-16 16:45:00",720,0.0562252812087536,0.0562252812087536,2,0,2649,1,28.9996147155762,235,0.0587781208415547,0
"14991",14991,1,7,"2023-03-16 16:45:00",720,0.170599281787872,0.170599281787872,2,0,2017,1,29.0014324188232,235,0.177014652041445,0
"14992",14992,1,8,"2023-03-16 16:45:00",720,0.0419141463935375,0.0419141463935375,2,0,2725,1,29.0014324188232,235,0.0439486790459128,NA
"14993",14993,1,1,"2023-03-16 17:00:00",680,0.217462137341499,0.217462137341499,2,0,1812,1,28.9996147155762,235.25,0.198451986327525,NA
"14994",14994,1,2,"2023-03-16 17:00:00",680,0.20469556748867,0.20469556748867,2,0,1886,1,28.9996147155762,235.25,0.186844486212903,NA
