sgRNA	condition	time	group	reference_group	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	fitness
I	LD_N2	7.4	8	5	9497.086057418199	-0.013633080405050763	0.911296394692325	-0.014960094744645193	0.9880640165977632	0.9944954624984866	0.05502363697491951
I	LD_N2	9.5	9	5	9497.086057418199	0.4429127187326323	0.9111515837236195	0.4861021224619651	0.6268947621601895	0.7164511567545022	0.05502363697491951
I	LD_N2	10.8	10	5	9497.086057418199	0.7006659247881022	0.9108068564937318	0.7692804679637633	0.441726829763578	0.5048306625869463	0.05502363697491951
K	HL_5N2	0	26	26	NA	0	0	NA	1	1	-2.6082637480541844
K	HL_5N2	2.2	27	26	1938.6687838315843	-0.14410521372438362	0.2756339464366615	-0.522813737521615	0.6011038787705207	0.9991336400486256	-2.6082637480541844
K	HL_5N2	4.1	28	26	1938.6687838315843	-0.7566326988398064	0.27536944727059964	-2.747700249026827	0.0060014848307055	0.032007919097095994	-2.6082637480541844
K	HL_5N2	5.2	29	26	1938.6687838315843	-1.230531197601249	0.27547294045252907	-4.466976667762039	7.933277840451928e-6	6.346622272361542e-5	-2.6082637480541844
K	HL_5N2	7.3	30	26	1938.6687838315843	-1.8036634428522142	0.2815234858966403	-6.406795643026454	1.4860979297656633e-10	1.1888783438125306e-9	-2.6082637480541844
K	HL_5N2	8.8	31	26	1938.6687838315843	-2.1670238578194856	0.27730608340005275	-7.8145557834490456	5.515720297690891e-15	4.412576238152713e-14	-2.6082637480541844
K	HL_5N2	10.01	32	26	1938.6687838315843	-2.6473735594922223	0.277411152447266	-9.543140339303664	1.3857134113273722e-21	2.2171414581237956e-20	-2.6082637480541844
K	HL_5N2	11.6	33	26	1938.6687838315843	-2.313812048288145	0.281773401986761	-8.211605609236527	2.182501287802154e-16	3.4920020604834463e-15	-2.6082637480541844
K	LD_N2	0	5	5	NA	0	0	NA	1	1	-1.9881793141300024
K	LD_N2	3.4	6	5	1938.6687838315843	-0.3274432882393505	0.3181028619230989	-1.029362911920326	0.3033091703840278	0.9429977712811921	-1.9881793141300024
K	LD_N2	5.8	7	5	1938.6687838315843	-1.081148286634045	0.31806158042236354	-3.3991791312812936	6.758843371163934e-4	0.005407074696931147	-1.9881793141300024
K	LD_N2	7.4	8	5	1938.6687838315843	-1.6446071781873723	0.322316083426607	-5.102466996692263	3.352542253881391e-7	2.6820338031051128e-6	-1.9881793141300024
K	LD_N2	9.5	9	5	1938.6687838315843	-1.9006482355119039	0.3232756889080756	-5.8793416910863305	4.119013212506693e-9	3.295210570005355e-8	-1.9881793141300024
K	LD_N2	10.8	10	5	1938.6687838315843	-2.0779398571122	0.32004141026555305	-6.492721849300808	8.429924670272436e-11	6.743939736217949e-10	-1.9881793141300024
WT	HL_5N2	0	26	26	NA	0	0	NA	1	1	2.4218717016726132
WT	HL_5N2	2.2	27	26	9756.016562414741	-9.757812655914111e-4	0.8986572524650427	-0.0010858213884268057	0.9991336400486256	0.9991336400486256	2.4218717016726132
WT	HL_5N2	4.1	28	26	9756.016562414741	0.6031014621050804	0.8985415565163428	0.671200411078718	0.5020928668356757	0.7086126847305967	2.4218717016726132
WT	HL_5N2	5.2	29	26	9756.016562414741	0.7011921925877764	0.8985448609693583	0.7803641454599428	0.4351765659322694	0.6962825054916311	2.4218717016726132
WT	HL_5N2	7.3	30	26	9756.016562414741	1.1552792952836732	0.8988982927856369	1.2852169200405594	0.19871649257330473	0.289042171015716	2.4218717016726132
WT	HL_5N2	8.8	31	26	9756.016562414741	2.035347930876123	0.8985634062163875	2.2651133095286333	0.02350572708673188	0.03419014848979183	2.4218717016726132
WT	HL_5N2	10.01	32	26	9756.016562414741	3.0688048084113393	0.8985367068588513	3.415336051366691	6.370336555937888e-4	0.00113250427661118	2.4218717016726132
WT	HL_5N2	11.6	33	26	9756.016562414741	3.6334221514137406	0.8985634030254025	4.043590178701083	5.263889663162426e-5	9.358026067844313e-5	2.4218717016726132
WT	LD_N2	0	5	5	NA	0	0	NA	1	1	-0.2974096805826703
WT	LD_N2	3.4	6	5	9756.016562414741	-0.12559011797004532	1.037606686999793	-0.12103826964838206	0.9036607232171223	0.9429977712811921	-0.2974096805826703
WT	LD_N2	5.8	7	5	9756.016562414741	-0.5628929688557296	1.0375773882851507	-0.5425069736591381	0.587469304681383	0.9053987046709127	-0.2974096805826703
WT	LD_N2	7.4	8	5	9756.016562414741	-0.28741154910360167	1.0381974194925345	-0.27683708676918783	0.7819052025201629	0.9705955303257396	-0.2974096805826703
WT	LD_N2	9.5	9	5	9756.016562414741	0.13245130734597368	1.0380497972246017	0.12759629422413474	0.8984684639417412	0.8984684639417412	-0.2974096805826703
