task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
38	58/76b85d	190867	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t1_R3)	COMPLETED	0	2024-09-04 10:48:41.143	2.2s	1s	118.4%	21 MB	28.9 MB	41.3 MB	23.6 MB
42	f8/aaa0fd	191192	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t5_R3)	COMPLETED	0	2024-09-04 10:48:43.390	2.8s	1s	80.1%	21.4 MB	29.2 MB	42.1 MB	24.4 MB
41	21/ed9931	191520	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t4_R3)	COMPLETED	0	2024-09-04 10:48:46.179	2.5s	1s	138.2%	12.6 MB	19.4 MB	66.4 MB	47.2 MB
40	2f/ddf047	191905	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t3_R3)	COMPLETED	0	2024-09-04 10:48:48.726	2.9s	2s	179.2%	139.6 MB	627.9 MB	140.4 MB	116.4 MB
44	1a/aa73a8	192402	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t7_R3)	COMPLETED	0	2024-09-04 10:48:51.599	2.2s	1s	111.3%	25.4 MB	33.4 MB	30.5 MB	13.6 MB
43	97/bf4b42	192731	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t6_R3)	COMPLETED	0	2024-09-04 10:48:53.779	2.8s	2s	163.8%	133.3 MB	628 MB	105.6 MB	83.9 MB
45	4c/049d7e	193204	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t0_R4)	COMPLETED	0	2024-09-04 10:48:56.617	3.6s	3s	213.8%	136.2 MB	627.9 MB	263.3 MB	231.7 MB
46	d0/43184b	193957	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t1_R4)	COMPLETED	0	2024-09-04 10:49:00.235	5.4s	2s	95.1%	49.3 MB	280.6 MB	82.8 MB	62.5 MB
47	1d/678b89	194498	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t2_R4)	COMPLETED	0	2024-09-04 10:49:05.630	5.7s	4s	229.8%	168.2 MB	629.9 MB	323.1 MB	287.9 MB
48	46/e19b64	195354	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t3_R4)	COMPLETED	0	2024-09-04 10:49:11.326	4.4s	3s	200.8%	155.7 MB	630 MB	225 MB	195.6 MB
49	69/3fd6d2	196011	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t4_R4)	COMPLETED	0	2024-09-04 10:49:15.728	3.3s	2s	158.8%	110.6 MB	535 MB	100.4 MB	78.9 MB
51	30/b6e3b6	196493	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t6_R4)	COMPLETED	0	2024-09-04 10:49:19.069	3.8s	2s	182.6%	49.9 MB	282.5 MB	163.4 MB	138.2 MB
50	b1/6894d4	197121	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t5_R4)	COMPLETED	0	2024-09-04 10:49:22.900	5.1s	2s	151.4%	145.1 MB	630 MB	149.4 MB	124.9 MB
52	94/e3296c	197702	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t7_R4)	COMPLETED	0	2024-09-04 10:49:27.979	5.1s	1s	135.0%	15.9 MB	24.1 MB	62.1 MB	43.1 MB
53	93/fe6cfd	198037	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t3_R1)	COMPLETED	0	2024-09-04 10:49:33.054	1.6s	1s	145.8%	11 MB	14.6 MB	21.9 MB	13.4 MB
54	c9/df1ab8	198263	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t1_R2)	COMPLETED	0	2024-09-04 10:49:34.653	1.2s	1s	144.7%	11.1 MB	14.6 MB	22.2 MB	13.6 MB
55	75/98ffc5	198473	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t2_R1)	COMPLETED	0	2024-09-04 10:49:35.855	1.5s	1s	193.9%	11 MB	14.6 MB	30.8 MB	21.9 MB
56	0f/ed42d8	198764	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t0_R1)	COMPLETED	0	2024-09-04 10:49:37.314	2.3s	2s	283.9%	128.7 MB	1.9 GB	64.9 MB	54.6 MB
57	f9/18310c	199185	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t4_R1)	COMPLETED	0	2024-09-04 10:49:39.648	2s	1s	239.1%	38.8 MB	407.4 MB	43.9 MB	34.4 MB
58	3d/7bf900	199601	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t0_R2)	COMPLETED	0	2024-09-04 10:49:41.616	1.6s	1s	168.1%	22.9 MB	30.3 MB	25.7 MB	16.9 MB
59	8b/edda03	199897	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t1_R1)	COMPLETED	0	2024-09-04 10:49:43.247	2s	2s	136.9%	71.8 MB	1.2 GB	32.6 MB	23.6 MB
60	4f/3acc94	200317	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t5_R1)	COMPLETED	0	2024-09-04 10:49:45.203	1.4s	1s	115.0%	11 MB	14.6 MB	16.9 MB	8.6 MB
61	0e/f6262d	200528	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t2_R2)	COMPLETED	0	2024-09-04 10:49:46.606	2s	2s	243.0%	82.6 MB	1.2 GB	47.9 MB	38.2 MB
62	57/cf3b93	200941	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t3_R2)	COMPLETED	0	2024-09-04 10:49:48.573	1.2s	1s	100.9%	10.9 MB	14.6 MB	9.1 MB	1 MB
63	62/0cf9d5	201164	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t4_R2)	COMPLETED	0	2024-09-04 10:49:49.753	1.3s	0ms	76.2%	10.6 MB	14.5 MB	9.5 MB	1.4 MB
64	c3/3e5399	201379	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t5_R2)	COMPLETED	0	2024-09-04 10:49:51.059	2.3s	2s	280.4%	107.3 MB	1.6 GB	65 MB	54.6 MB
65	18/5d1e73	201797	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t0_R3)	COMPLETED	0	2024-09-04 10:49:53.313	2s	2s	251.5%	85.3 MB	1.2 GB	48.4 MB	38.7 MB
66	38/cc6d64	202219	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t2_R3)	COMPLETED	0	2024-09-04 10:49:55.293	3.5s	2s	376.3%	191.1 MB	2.7 GB	128.4 MB	115.3 MB
67	65/e0be94	202849	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t1_R3)	COMPLETED	0	2024-09-04 10:49:58.829	3.2s	2s	274.8%	176.4 MB	2.7 GB	91 MB	79.5 MB
68	cb/8bc181	203316	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t0_R1)	COMPLETED	0	2024-09-04 10:50:01.990	1.7s	1s	179.9%	22 MB	29.2 MB	28.5 MB	19.7 MB
69	90/a3cebf	203606	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t4_R3)	COMPLETED	0	2024-09-04 10:50:03.689	10.3s	9s	85.1%	176.4 MB	2.7 GB	101.8 MB	89.9 MB
70	a3/350682	204457	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t3_R3)	COMPLETED	0	2024-09-04 10:50:14.034	2.1s	2s	355.4%	192 MB	2.7 GB	97.6 MB	85.8 MB
71	25/fdc2eb	204873	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD_N2_t5_R3)	COMPLETED	0	2024-09-04 10:50:16.129	1.2s	1s	171.3%	11.1 MB	14.6 MB	27.1 MB	18.3 MB
72	25/30a18e	205084	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t1_R1)	COMPLETED	0	2024-09-04 10:50:17.354	1.2s	1s	156.8%	11.1 MB	14.6 MB	24 MB	15.4 MB
73	fe/c9947c	205297	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t2_R1)	COMPLETED	0	2024-09-04 10:50:18.564	1.9s	2s	325.4%	145 MB	2 GB	82.2 MB	71.1 MB
74	76/33e604	205722	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t3_R1)	COMPLETED	0	2024-09-04 10:50:20.471	2.3s	2s	313.5%	161.7 MB	2.3 GB	74.6 MB	63.9 MB
75	7f/c91e9f	206139	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t4_R1)	COMPLETED	0	2024-09-04 10:50:22.784	1.6s	1s	153.0%	22.7 MB	30 MB	23.3 MB	14.7 MB
76	f4/6f6123	206439	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t5_R1)	COMPLETED	0	2024-09-04 10:50:24.410	1.7s	2s	227.6%	18.1 MB	24.8 MB	37.5 MB	28.3 MB
77	b5/69b4f6	206730	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t6_R1)	COMPLETED	0	2024-09-04 10:50:26.135	1.6s	1s	197.7%	26 MB	33 MB	31.1 MB	22.1 MB
78	24/4117d1	207021	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t7_R1)	COMPLETED	0	2024-09-04 10:50:27.705	1.6s	1s	203.0%	25.9 MB	33 MB	33 MB	24 MB
79	ef/6a6c65	207317	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t0_R2)	COMPLETED	0	2024-09-04 10:50:29.289	1.5s	1s	172.1%	10.8 MB	14.6 MB	27 MB	18.3 MB
80	dd/62d57d	207563	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t1_R2)	COMPLETED	0	2024-09-04 10:50:30.797	2s	1s	266.2%	87.5 MB	1.2 GB	53.1 MB	43.3 MB
81	a4/5f2f8b	207975	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t3_R2)	COMPLETED	0	2024-09-04 10:50:32.791	2.1s	1s	245.5%	88 MB	1.2 GB	48.5 MB	38.8 MB
82	8e/858752	208401	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t2_R2)	COMPLETED	0	2024-09-04 10:50:34.879	2.1s	1s	273.4%	85.6 MB	1.2 GB	55 MB	45.1 MB
83	0c/7d36ed	208818	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t4_R2)	COMPLETED	0	2024-09-04 10:50:36.942	1.2s	0ms	99.6%	10.8 MB	14.6 MB	9.2 MB	1.1 MB
84	4e/b2f189	209030	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t5_R2)	COMPLETED	0	2024-09-04 10:50:38.095	1.5s	1s	167.9%	10.8 MB	14.5 MB	26.3 MB	17.5 MB
85	82/32aef5	209252	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t7_R2)	COMPLETED	0	2024-09-04 10:50:39.551	1.4s	1s	133.7%	11 MB	14.6 MB	20.6 MB	12.1 MB
86	58/e2d14b	209465	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t2_R3)	COMPLETED	0	2024-09-04 10:50:40.948	1.9s	1s	275.7%	88.6 MB	1.2 GB	53.2 MB	43.3 MB
87	12/c1a656	209884	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t6_R2)	COMPLETED	0	2024-09-04 10:50:42.890	1.9s	1s	245.3%	35.7 MB	404.7 MB	47.1 MB	37.5 MB
88	33/b46da5	210303	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t0_R3)	COMPLETED	0	2024-09-04 10:50:44.829	1.9s	1s	243.4%	88.5 MB	1.2 GB	46.6 MB	36.9 MB
89	39/713808	210716	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t1_R3)	COMPLETED	0	2024-09-04 10:50:46.779	1.4s	1s	107.9%	11.1 MB	14.6 MB	15.5 MB	7.1 MB
90	14/a4d2be	210931	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t5_R3)	COMPLETED	0	2024-09-04 10:50:48.139	1.4s	1s	109.1%	10.9 MB	14.6 MB	15.7 MB	7.4 MB
91	26/f02b1a	211149	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (HL_5N2_t4_R3)	COMPLETED	0	2024-09-04 10:50:49.517	1.4s	1s	152.0%	10.6 MB	14.5 MB	22.9 MB	14.2 MB
